country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
ES,K,2023,73730.0,592878,60893.0,0.26354223634713025,0.3703725689255908,262.80294,0.35643963108639626
ES,L,2014,121851.0,294388,1424186.0,0.24602294538598476,-0.06491996566884994,42.39217,0.0347901699616745
ES,L,2015,119749.0,311901,1469203.0,0.23022032636956183,-0.06423229748603432,158.69884,0.13252623403953268
ES,L,2016,121874.0,336005,1503791.0,0.22120123663575605,-0.03917590542951388,90.05119,0.07388876216420238
ES,L,2017,124735.0,347382,1541120.0,0.21961469785614934,-0.007172377531592167,64.83909,0.051981472722171
ES,L,2018,129739.0,381970,1607946.0,0.21136903460780748,-0.03754604463560485,121.31157,0.09350432021211817
ES,L,2019,133936.0,396008,1674915.0,0.21014451405950665,-0.005793282590200177,85.98051,0.06419522010512484
ES,L,2020,134806.0,373478,1753290.0,0.21668054366216208,0.031102546892109784,65.81671,0.04882327937925612
ES,L,2021,138045.0,408809,1922412.0,0.20259683013823762,-0.06499759178139741,85.13611,0.061672722662899776
ES,L,2022,146180.0,452649,2116465.0,0.19412257736864671,-0.04182816070620987,76.69663,0.05246725270214804
ES,L,2023,159783.0,462905,2228370.0,0.2055015996800991,0.05861771704093521,75.35222999999999,0.04715910328382869
ES,TOTAL,2014,946493.0,30543000,3878070.0,0.06123270006598711,-0.0011756721632177891,218820.65157,23.119098775162623
ES,TOTAL,2015,987936.0,31458249,3948021.0,0.06229331541703731,0.01732106129416522,232243.25553,23.50792516215625
ES,TOTAL,2016,1019400.0,32261468,4026184.0,0.06279302006011808,0.008021802014154922,239810.17222,23.52463922111046
ES,TOTAL,2017,1061122.0,32952217,4129727.0,0.06390407714313127,0.017693958372275498,255952.42159,24.120923097438375
ES,TOTAL,2018,1097845.0,33765616,4259460.0,0.0643837094763201,0.0075055044158538475,266926.7817,24.313703819755975
ES,TOTAL,2019,1137968.0,34348535,4369824.0,0.06542119023731463,0.016114025883769534,267249.3814,23.484788798982045
ES,TOTAL,2020,1030964.0,30576946,4530544.0,0.06331401182029008,-0.03220941730623961,241781.08816999997,23.451942858334526
ES,TOTAL,2021,1118595.0,32787923,4927896.0,0.06376263414954349,0.007085672134104826,286580.03356,25.6196419222328
ES,TOTAL,2022,1254715.0,34448678,5293095.0,0.06757954717664671,0.059861282050414744,343203.89660000004,27.35313570013908
ES,TOTAL,2023,1366751.0,35369626,5488022.0,0.07146604666760051,0.05750999604650864,344748.00284,25.223907122804373
NL,A,2014,12222.0,382764,53014.0,0.06130975257524622,-0.020131370297338247,4490.29857,36.73947447226313
NL,A,2015,12627.0,378509,53284.0,0.06371066952314952,0.03916044099112326,4689.21557,37.13641854755683
NL,A,2016,13424.0,389738,53095.0,0.06649615030939605,0.043720789737336174,5106.1177099999995,38.03722966328963
NL,A,2017,14776.0,397857,53870.0,0.07184479139467281,0.08043534942083674,5081.604,34.390931239848406
NL,A,2018,13855.0,401167,54966.0,0.06654992671308803,-0.07369865760341521,5126.4571,37.00077300613497
NL,A,2019,14594.0,409046,57365.0,0.06822342086084048,0.025146446140613454,5452.46401,37.36099773879676
NL,A,2020,14185.0,400406,59032.0,0.06663387651148181,-0.023299100650507665,5627.20017,39.67007522030313
NL,A,2021,14752.0,397606,60520.0,0.06905431119575617,0.03632438649816949,5999.87527,40.671605680585685
